Dataset,Iterations,Fact Validation Approaches,Approaches Scores,#Approaches,Best Single Approach,Best Single Score,Experiment,Training AUC-ROC Min.,Training AUC-ROC Max.,Training AUC-ROC Mean,Training AUC-ROC Std. Dev.,Testing AUC-ROC Min.,Testing AUC-ROC Max.,Testing AUC-ROC Mean,Testing AUC-ROC Std. Dev.,Improvement
BPDP_Dataset,1,"katz, kl_rel, ks, pathent, pra, predpath, simrank","{'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0023,0.8537,0.8537,0.8537,0,0.437553021019889,0.437553021019889,0.437553021019889,0,-0.27603921198982
BPDP_Dataset,1,"adamic_adar, jaccard, kl, kl_rel, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'jaccard': 0.5, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0074,0.95,0.95,0.95,0,0.448864171929494,0.448864171929494,0.448864171929494,0,-0.264728061080215
BPDP_Dataset,1,"kl, ks, pathent, pra, predpath, simrank","{'kl': 0.4994815722499764, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",6,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0047,0.9849,0.9849,0.9849,0,0.449523989065887,0.449523989065887,0.449523989065887,0,-0.264068243943821
BPDP_Dataset,1,"katz, kl, kl_rel, pathent, pra, predpath, simrank","{'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0071,0.9403,0.9403,0.9403,0,0.450937882929588,0.450937882929588,0.450937882929588,0,-0.262654350080121
BPDP_Dataset,1,"jaccard, kl_rel, ks, pathent, pra, predpath, simrank","{'jaccard': 0.5, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0027,0.899,0.899,0.899,0,0.451032142520501,0.451032142520501,0.451032142520501,0,-0.262560090489207
BPDP_Dataset,1,"degree_product, jaccard, katz, kl_rel, ks, pathent, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",9,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0017,0.9133,0.9133,0.9133,0,0.452257517202375,0.452257517202375,0.452257517202375,0,-0.261334715807333
BPDP_Dataset,1,"degree_product, jaccard, kl, ks, pathent, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'kl': 0.4994815722499764, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0041,0.9006,0.9006,0.9006,0,0.452728815156942,0.452728815156942,0.452728815156942,0,-0.260863417852766
BPDP_Dataset,1,"adamic_adar, jaccard, kl_rel, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'jaccard': 0.5, 'kl_rel': 0.5131492129324158, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0090,0.8697,0.8697,0.8697,0,0.453482891884249,0.453482891884249,0.453482891884249,0,-0.26010934112546
BPDP_Dataset,1,"jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",9,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0003,0.9536,0.9536,0.9536,0,0.45489678574795,0.45489678574795,0.45489678574795,0,-0.258695447261759
BPDP_Dataset,1,"adamic_adar, degree_product, jaccard, katz, kl_rel, ks, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",9,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0144,0.905,0.905,0.905,0,0.45602790083891,0.45602790083891,0.45602790083891,0,-0.257564332170798
